6190,"['000135182900', 'R', 'Other', '6.88', '523000.00', '360', '97.00', '97.00', '2', '49.00', '713', 'Y', 'P', 'PU', '1', 'P', 'TX', '786', '35.00', '721', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '6.88', '0.00', '12420', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-03-01', 'NULL', '2024-03-01', 'NULL', 'Other', '2023-12-01', '2024-01-01', '2024-02-01', 'NULL', 'NULL', '2024-03-01', 'NULL', '0.00', '518390.00', '518390.00', '518390.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '713', '539175.26', '2024-03-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135182900', 'R', 'Other', '6.88', '523000.00', '360', '97.00', '97.00', '2', '49.00', '713', 'Y', 'P', 'PU', '1', 'P', 'TX', '786', '35.00', '721', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '6.88', '0.00', '12420', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-03-01', 'NULL', '1709251200000000000', 'NULL', 'Other', '2023-12-01', '2024-01-01', '2024-02-01', 'NULL', 'NULL', '2024-03-01', 'NULL', '0.00', '518390.00', '518390.00', '518390.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '713', '539175.26', '2024-03-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
6395,"['000135183105', 'C', 'AmeriHome Mortgage Company, LLC', '7.12', '180000.00', '360', '95.00', '95.00', '2', '49.00', '691', 'Y', 'P', 'SF', '1', 'P', 'KY', '420', '30.00', '764', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '7.12', '179406.42', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-12-01', 'NULL', '2023-12-01', 'NULL', 'AmeriHome Mortgage Company, LLC', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '179406.42', '180000.00', '179000.00', '179000.00', '179000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '5.00', '179000.00', '691', '189473.68', '2023-12-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135183105', 'C', 'AmeriHome Mortgage Company, LLC', '7.12', '180000.00', '360', '95.00', '95.00', '2', '49.00', '691', 'Y', 'P', 'SF', '1', 'P', 'KY', '420', '30.00', '764', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '7.12', '179406.42', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-12-01', 'NULL', '1701388800000000000', 'NULL', 'AmeriHome Mortgage Company, LLC', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '179406.42', '180000.00', '179000.00', '179000.00', '179000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '5.00', '179000.00', '691', '189473.68', '2023-12-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
14386,"['000135191096', 'C', 'U.S. Bank N.A.', '7.50', '231000.00', '360', '97.00', '103.00', '2', '49.00', '721', 'Y', 'P', 'PU', '1', 'P', 'IN', '460', '35.00', '726', 'N', 'BPMI', '2023-03-01', '2022-11-01', '2023-01-01', '7.50', '230168.21', '26900', '490.00', '115.57', '1500.00', '1265.51', '1915.86', '212007.96', '34704.37', '0.00', '0.00', '0', '2023-12-01', '2023-04-01', '2023-11-01', '2023-11-01', 'U.S. Bank N.A.', '2023-05-01', '2023-06-01', '2023-07-01', '2023-08-01', '2023-10-01', '2023-10-01', '230168.21', '231000.00', '230000.00', '230000.00', '230168.21', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '8.00', '230168.21', '721', '238144.33', '2023-11-01', 'S', '1.00', '9599.93', '0.00', '-1657.25', '-0.01', 'NULL']","['000135191096', 'C', 'U.S. Bank N.A.', '7.50', '231000.00', '360', '97.00', '103.00', '2', '49.00', '721', 'Y', 'P', 'PU', '1', 'P', 'IN', '460', '35.00', '726', 'N', 'BPMI', '2023-03-01', '2022-11-01', '2023-01-01', '7.50', '230168.21', '26900', '490.00', '115.57', '1500.00', '1265.51', '1915.86', '212007.96', '34704.37', '0.00', '0.00', '0', '2023-12-01', '2023-04-01', '1.6987968e+18', '1698796800000000000.00', 'U.S. Bank N.A.', '2023-05-01', '2023-06-01', '2023-07-01', '2023-08-01', '2023-10-01', '2023-10-01', '230168.21', '231000.00', '230000.00', '230000.00', '230168.21', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '8.00', '230168.21', '721', '238144.33', '2023-11-01', 'S', '1.00', '9599.93', '0.00', '-1657.25', '-0.01', 'NULL']"
14493,"['000135191203', 'R', 'NewRez LLC', '6.12', '676000.00', '360', '95.00', '95.00', '2', '35.00', '675', 'Y', 'P', 'CO', '1', 'P', 'CA', '946', '30.00', '733', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '6.12', '673000.00', '41860', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-06-01', 'NULL', '2023-06-01', 'NULL', 'New Residential Mortgage LLC', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '2023-06-01', 'NULL', '673000.00', 'NULL', 'NULL', 'NULL', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '675', '711578.95', '2023-06-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135191203', 'R', 'NewRez LLC', '6.12', '676000.00', '360', '95.00', '95.00', '2', '35.00', '675', 'Y', 'P', 'CO', '1', 'P', 'CA', '946', '30.00', '733', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '6.12', '673000.00', '41860', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-06-01', 'NULL', '1685577600000000000', 'NULL', 'New Residential Mortgage LLC', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '2023-06-01', 'NULL', '673000.00', 'NULL', 'NULL', 'NULL', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '675', '711578.95', '2023-06-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
30114,"['000135206824', 'C', 'Fifth Third Bank, National Association', '6.95', '133000.00', '360', '95.00', '95.00', '1', '26.00', '793', 'Y', 'P', 'SF', '1', 'P', 'MI', '483', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '6.95', '133000.00', '19820', '344.00', '24.48', '2500.00', '2338.35', '0.00', '70886.89', '21.04', '0.00', '550.00', '0', '2023-07-01', '2023-04-01', '2023-07-01', '2023-07-01', 'Fifth Third Bank, National Association', '2023-05-01', '2023-06-01', 'NULL', 'NULL', 'NULL', '2023-07-01', 'NULL', '133000.00', '133000.00', '133000.00', 'NULL', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '793', '140000.00', '2023-07-01', 'S', '1.00', '2194.50', '0.00', '68943.40', '0.52', 'NULL']","['000135206824', 'C', 'Fifth Third Bank, National Association', '6.95', '133000.00', '360', '95.00', '95.00', '1', '26.00', '793', 'Y', 'P', 'SF', '1', 'P', 'MI', '483', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2022-12-01', '2023-02-01', '6.95', '133000.00', '19820', '344.00', '24.48', '2500.00', '2338.35', '0.00', '70886.89', '21.04', '0.00', '550.00', '0', '2023-07-01', '2023-04-01', '1.6881696e+18', '1688169600000000000.00', 'Fifth Third Bank, National Association', '2023-05-01', '2023-06-01', 'NULL', 'NULL', 'NULL', '2023-07-01', 'NULL', '133000.00', '133000.00', '133000.00', 'NULL', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '793', '140000.00', '2023-07-01', 'S', '1.00', '2194.50', '0.00', '68943.40', '0.52', 'NULL']"
53020,"['000135229730', 'R', 'Rocket Mortgage, LLC', '6.99', '95000.00', '360', '54.00', '54.00', '1', '42.00', '722', 'N', 'C', 'SF', '1', 'P', 'TX', '790', 'NULL', 'NULL', 'N', 'None', '2023-03-01', '2022-11-01', '2023-01-01', '6.99', '0.00', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-02-01', 'NULL', '2024-02-01', 'NULL', 'Rocket Mortgage, LLC', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '94842.48', '95000.00', '95000.00', '95000.00', '95000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '6.00', '95000.00', '722', '175925.93', '2024-02-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135229730', 'R', 'Rocket Mortgage, LLC', '6.99', '95000.00', '360', '54.00', '54.00', '1', '42.00', '722', 'N', 'C', 'SF', '1', 'P', 'TX', '790', 'NULL', 'NULL', 'N', 'None', '2023-03-01', '2022-11-01', '2023-01-01', '6.99', '0.00', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-02-01', 'NULL', '1706745600000000000', 'NULL', 'Rocket Mortgage, LLC', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '94842.48', '95000.00', '95000.00', '95000.00', '95000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '6.00', '95000.00', '722', '175925.93', '2024-02-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
75297,"['000135538245', 'C', 'NewRez LLC', '6.12', '244000.00', '360', '97.00', '97.00', '1', '46.00', '760', 'Y', 'P', 'PU', '1', 'P', 'AZ', '850', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-01-01', '2023-03-01', '6.12', '244000.00', '38060', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0', '2023-06-01', '2023-02-01', '2023-06-01', '2024-01-01', 'New Residential Mortgage LLC', '2023-03-01', '2023-04-01', '2023-05-01', 'NULL', 'NULL', '2023-06-01', 'NULL', '244000.00', '244000.00', '244000.00', '244000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '760', '251546.39', '2024-01-01', 'F', '1.00', '12916.75', '0.00', '256916.75', '1.05', 'NULL']","['000135538245', 'C', 'NewRez LLC', '6.12', '244000.00', '360', '97.00', '97.00', '1', '46.00', '760', 'Y', 'P', 'PU', '1', 'P', 'AZ', '850', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-01-01', '2023-03-01', '6.12', '244000.00', '38060', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0.00', '0', '2023-06-01', '2023-02-01', '1.6855776e+18', '1704067200000000000.00', 'New Residential Mortgage LLC', '2023-03-01', '2023-04-01', '2023-05-01', 'NULL', 'NULL', '2023-06-01', 'NULL', '244000.00', '244000.00', '244000.00', '244000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '760', '251546.39', '2024-01-01', 'F', '1.00', '12916.75', '0.00', '256916.75', '1.05', 'NULL']"
95845,"['000135558793', 'B', 'NewRez LLC', '5.99', '551000.00', '180', '95.00', '95.00', '1', '48.00', '700', 'Y', 'P', 'PU', '1', 'P', 'TX', '779', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-01-01', '2023-03-01', '5.99', '547193.32', '47020', '2564.99', '11132.00', '0.00', '0.00', '0.00', '448117.36', '118997.98', '0.00', '0.00', '0', '2023-11-01', '2023-04-01', '2023-11-01', '2023-11-01', 'New Residential Mortgage LLC', '2023-04-01', '2023-06-01', '2023-07-01', '2023-08-01', '2023-10-01', '2023-10-01', '547193.32', '551000.00', '549000.00', '547000.00', '547000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '6.00', '547000.00', '700', '580000.00', '2023-11-01', 'T', '1.00', '18002.66', '0.00', '11777.63', '0.02', 'NULL']","['000135558793', 'B', 'NewRez LLC', '5.99', '551000.00', '180', '95.00', '95.00', '1', '48.00', '700', 'Y', 'P', 'PU', '1', 'P', 'TX', '779', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-01-01', '2023-03-01', '5.99', '547193.32', '47020', '2564.99', '11132.00', '0.00', '0.00', '0.00', '448117.36', '118997.98', '0.00', '0.00', '0', '2023-11-01', '2023-04-01', '1.6987968e+18', '1698796800000000000.00', 'New Residential Mortgage LLC', '2023-04-01', '2023-06-01', '2023-07-01', '2023-08-01', '2023-10-01', '2023-10-01', '547193.32', '551000.00', '549000.00', '547000.00', '547000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '6.00', '547000.00', '700', '580000.00', '2023-11-01', 'T', '1.00', '18002.66', '0.00', '11777.63', '0.02', 'NULL']"
100927,"['000135563875', 'B', 'Other', '5.99', '155000.00', '360', '97.00', '97.00', '1', '27.00', '711', 'Y', 'P', 'SF', '1', 'P', 'MO', '640', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-01-01', '2023-03-01', '5.99', '155200.00', '28140', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-11-01', 'NULL', '2023-11-01', 'NULL', 'NationStar Mortgage, LLC', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '155000.00', '155000.00', '155000.00', '155000.00', '155000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '4.00', '155000.00', '711', '159793.81', '2023-11-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135563875', 'B', 'Other', '5.99', '155000.00', '360', '97.00', '97.00', '1', '27.00', '711', 'Y', 'P', 'SF', '1', 'P', 'MO', '640', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-01-01', '2023-03-01', '5.99', '155200.00', '28140', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-11-01', 'NULL', '1698796800000000000', 'NULL', 'NationStar Mortgage, LLC', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '155000.00', '155000.00', '155000.00', '155000.00', '155000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '4.00', '155000.00', '711', '159793.81', '2023-11-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
112102,"['000135575050', 'R', 'CrossCountry Mortgage, LLC', '5.88', '119000.00', '360', '95.00', '95.00', '1', '43.00', '793', 'Y', 'P', 'SF', '1', 'P', 'AL', '360', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '5.88', '118000.00', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-08-01', 'NULL', '2023-08-01', 'NULL', 'CrossCountry Mortgage, LLC', '2023-07-01', 'NULL', 'NULL', 'NULL', 'NULL', '2023-08-01', 'NULL', '118000.00', '118000.00', 'NULL', 'NULL', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '793', '125263.16', '2023-08-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135575050', 'R', 'CrossCountry Mortgage, LLC', '5.88', '119000.00', '360', '95.00', '95.00', '1', '43.00', '793', 'Y', 'P', 'SF', '1', 'P', 'AL', '360', '25.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '5.88', '118000.00', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-08-01', 'NULL', '1690848000000000000', 'NULL', 'CrossCountry Mortgage, LLC', '2023-07-01', 'NULL', 'NULL', 'NULL', 'NULL', '2023-08-01', 'NULL', '118000.00', '118000.00', 'NULL', 'NULL', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '793', '125263.16', '2023-08-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
115140,"['000135578088', 'C', 'PHH Mortgage Corporation', '5.62', '588000.00', '360', '80.00', '80.00', '1', '48.00', '672', 'N', 'P', 'PU', '1', 'P', 'CA', '956', 'NULL', 'NULL', 'N', 'None', '2023-03-01', '2022-09-01', '2022-11-01', '5.62', '585467.82', '00000', '3456.48', '13925.09', '0.00', '0.00', '4638.06', '556000.00', '0.00', '0.00', '0.00', '0', '2023-12-01', '2023-02-01', '2023-12-01', '2023-12-01', 'PHH Mortgage Corporation', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '585467.82', '588000.00', '585000.00', '585000.00', '585467.82', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '8.00', '585467.82', '672', '735000.00', '2023-12-01', 'T', '1.00', '25736.19', '0.00', '77223.64', '0.13', 'NULL']","['000135578088', 'C', 'PHH Mortgage Corporation', '5.62', '588000.00', '360', '80.00', '80.00', '1', '48.00', '672', 'N', 'P', 'PU', '1', 'P', 'CA', '956', 'NULL', 'NULL', 'N', 'None', '2023-03-01', '2022-09-01', '2022-11-01', '5.62', '585467.82', '00000', '3456.48', '13925.09', '0.00', '0.00', '4638.06', '556000.00', '0.00', '0.00', '0.00', '0', '2023-12-01', '2023-02-01', '1.7013888e+18', '1701388800000000000.00', 'PHH Mortgage Corporation', '2023-03-01', '2023-04-01', '2023-05-01', '2023-06-01', '2023-08-01', '2023-08-01', '585467.82', '588000.00', '585000.00', '585000.00', '585467.82', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '8.00', '585467.82', '672', '735000.00', '2023-12-01', 'T', '1.00', '25736.19', '0.00', '77223.64', '0.13', 'NULL']"
131557,"['000135808714', 'C', 'Nationstar Mortgage LLC', '7.12', '247000.00', '360', '95.00', '95.00', '2', '40.00', '682', 'N', 'P', 'SF', '1', 'P', 'MO', '657', '30.00', '715', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '7.12', '0.00', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-03-01', 'NULL', '2024-03-01', 'NULL', 'Nationstar Mortgage LLC', '2023-05-01', '2023-07-01', '2023-10-01', '2023-11-01', '2024-01-01', '2024-01-01', '245729.39', '247000.00', '246000.00', '246000.00', '245729.39', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '8.00', '245729.39', '682', '260000.00', '2024-03-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135808714', 'C', 'Nationstar Mortgage LLC', '7.12', '247000.00', '360', '95.00', '95.00', '2', '40.00', '682', 'N', 'P', 'SF', '1', 'P', 'MO', '657', '30.00', '715', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '7.12', '0.00', '00000', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-03-01', 'NULL', '1709251200000000000', 'NULL', 'Nationstar Mortgage LLC', '2023-05-01', '2023-07-01', '2023-10-01', '2023-11-01', '2024-01-01', '2024-01-01', '245729.39', '247000.00', '246000.00', '246000.00', '245729.39', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '8.00', '245729.39', '682', '260000.00', '2024-03-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
152406,"['000135829563', 'R', 'Rocket Mortgage, LLC', '7.25', '120000.00', '360', '70.00', '70.00', '1', '36.00', '778', 'N', 'C', 'SF', '1', 'P', 'MI', '490', 'NULL', 'NULL', 'N', 'None', '2023-03-01', '2023-02-01', '2023-04-01', '7.25', '120000.00', '12980', '2637.40', '2378.42', '0.00', '-80.76', '324.77', '94100.00', '0.00', '0.00', '0.00', '0', '2023-10-01', '2023-03-01', '2023-10-01', '2023-10-01', 'Rocket Mortgage, LLC', '2023-04-01', '2023-05-01', '2023-06-01', '2023-07-01', '2023-09-01', '2023-09-01', '120000.00', '120000.00', '120000.00', '120000.00', '120000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '4.00', '120000.00', '778', '171428.57', '2023-10-01', 'T', '1.00', '4830.00', '0.00', '35989.83', '0.30', 'NULL']","['000135829563', 'R', 'Rocket Mortgage, LLC', '7.25', '120000.00', '360', '70.00', '70.00', '1', '36.00', '778', 'N', 'C', 'SF', '1', 'P', 'MI', '490', 'NULL', 'NULL', 'N', 'None', '2023-03-01', '2023-02-01', '2023-04-01', '7.25', '120000.00', '12980', '2637.40', '2378.42', '0.00', '-80.76', '324.77', '94100.00', '0.00', '0.00', '0.00', '0', '2023-10-01', '2023-03-01', '1.6961184e+18', '1696118400000000000.00', 'Rocket Mortgage, LLC', '2023-04-01', '2023-05-01', '2023-06-01', '2023-07-01', '2023-09-01', '2023-09-01', '120000.00', '120000.00', '120000.00', '120000.00', '120000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '4.00', '120000.00', '778', '171428.57', '2023-10-01', 'T', '1.00', '4830.00', '0.00', '35989.83', '0.30', 'NULL']"
153324,"['000135830481', 'R', 'Other', '6.50', '513000.00', '360', '95.00', '95.00', '1', '47.00', '776', 'N', 'P', 'PU', '1', 'P', 'TX', '751', '30.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '6.50', '511601.17', '19100', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-12-01', 'NULL', '2023-12-01', 'NULL', 'Other', '2023-07-01', '2023-08-01', '2023-09-01', '2023-10-01', 'NULL', '2023-12-01', 'NULL', '511601.17', '512000.00', '512000.00', '512000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '7.00', '511601.17', '776', '540000.00', '2023-12-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135830481', 'R', 'Other', '6.50', '513000.00', '360', '95.00', '95.00', '1', '47.00', '776', 'N', 'P', 'PU', '1', 'P', 'TX', '751', '30.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '6.50', '511601.17', '19100', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2023-12-01', 'NULL', '1701388800000000000', 'NULL', 'Other', '2023-07-01', '2023-08-01', '2023-09-01', '2023-10-01', 'NULL', '2023-12-01', 'NULL', '511601.17', '512000.00', '512000.00', '512000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '7.00', '511601.17', '776', '540000.00', '2023-12-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
178352,"['000135855509', 'C', 'Other', '6.62', '378000.00', '360', '97.00', '101.00', '2', '41.00', 'NULL', 'Y', 'P', 'SF', '1', 'P', 'CO', '806', '18.00', '714', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '6.62', '0.00', '24540', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-02-01', 'NULL', '2024-02-01', 'NULL', 'Other', '2023-06-01', '2023-07-01', '2023-08-01', '2023-09-01', '2023-11-01', '2023-11-01', '377630.62', '378000.00', '378000.00', '378000.00', '378000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '6.00', '378000.00', '714', '389690.72', '2024-02-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135855509', 'C', 'Other', '6.62', '378000.00', '360', '97.00', '101.00', '2', '41.00', 'NULL', 'Y', 'P', 'SF', '1', 'P', 'CO', '806', '18.00', '714', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '6.62', '0.00', '24540', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-02-01', 'NULL', '1706745600000000000', 'NULL', 'Other', '2023-06-01', '2023-07-01', '2023-08-01', '2023-09-01', '2023-11-01', '2023-11-01', '377630.62', '378000.00', '378000.00', '378000.00', '378000.00', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', '6.00', '378000.00', '714', '389690.72', '2024-02-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
201179,"['000135878336', 'R', 'Other', '6.12', '290000.00', '360', '95.00', '95.00', '1', '38.00', '767', 'N', 'P', 'PU', '1', 'P', 'GA', '303', '30.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '6.12', '0.00', '12060', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-02-01', 'NULL', '2024-02-01', 'NULL', 'Other', '2023-11-01', '2023-12-01', '2024-01-01', 'NULL', 'NULL', '2024-02-01', 'NULL', '0.00', '287889.27', '287889.27', '287889.27', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '767', '305263.16', '2024-02-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']","['000135878336', 'R', 'Other', '6.12', '290000.00', '360', '95.00', '95.00', '1', '38.00', '767', 'N', 'P', 'PU', '1', 'P', 'GA', '303', '30.00', 'NULL', 'N', 'BPMI', '2023-03-01', '2023-02-01', '2023-04-01', '6.12', '0.00', '12060', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', '0', '2024-02-01', 'NULL', '1706745600000000000', 'NULL', 'Other', '2023-11-01', '2023-12-01', '2024-01-01', 'NULL', 'NULL', '2024-02-01', 'NULL', '0.00', '287889.27', '287889.27', '287889.27', '0', 'NULL', 'NULL', 'NULL', 'NULL', '0.00', '0.00', '0.00', 'NULL', 'NULL', '767', '305263.16', '2024-02-01', 'F', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL', 'NULL']"
